record_id	service_type	source_destination	canonical_destination	placeholders	template_text
standard-0048	Hotel	Geiranger	Geiranger	BedType;HotelName;MealPlan;RoomCategory;X	Geiranger: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0049	Leisure	Geiranger	Geiranger		Geiranger: Spend time at leisure
standard-0050	Transfer	Geiranger	Geiranger	Destination	Geiranger: Self transfer to [Destination]
standard-0051	Transfer	Geiranger	Geiranger	Destination	Geiranger: Private transfer to [Destination]
standard-0052	Cruise	Geiranger	Geiranger	Destination;Time	Geiranger: Scenic Fjord Cruise to [Destination] - Departure from Geiranger: [Time] - Arrival at [Destination]: [Time] - Meeting point: Geiranger Cruise Harbor - Includes: Tickets
standard-0053	Coach	Geiranger	Geiranger	Destination;Time	Geiranger: Coach transfer to [Destination] - Time: [Time] - Meeting point: Geiranger Bus Station - Includes: Tickets
standard-0054	Hotel	Trondheim	Trondheim	BedType;HotelName;MealPlan;RoomCategory;X	Trondheim: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0055	Leisure	Trondheim	Trondheim		Trondheim: Spend time at leisure
standard-0056	Transfer	Trondheim	Trondheim	Destination	Trondheim: Self transfer to [Destination]
standard-0057	Transfer	Trondheim	Trondheim	Destination	Trondheim: Private transfer to [Destination]
standard-0058	Flight	Trondheim	Trondheim	Destination;Time	Trondheim: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0059	Cruise	Trondheim	Trondheim	Destination;Time	Trondheim: Atlantic Coastal Cruise to [Destination] - Departure from Trondheim: [Time] - Arrival at [Destination]: [Time] - Meeting point: Trondheim Cruise Harbor - Includes: Tickets
standard-0060	Train	Trondheim	Trondheim	Destination;Time	Trondheim: Scenic Train Transfer to [Destination] - Time: [Time] - Meeting point: Trondheim Train Station - Includes: Tickets
standard-0061	Coach	Trondheim	Trondheim	Destination;Time	Trondheim: Coach transfer to [Destination] - Time: [Time] - Meeting point: Trondheim Bus Station - Includes: Tickets
standard-0062	Hotel	Bodø	Bodø	BedType;HotelName;MealPlan;RoomCategory;X	Bodø: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0063	Leisure	Bodø	Bodø		Bodø: Spend time at leisure
standard-0064	Transfer	Bodø	Bodø	Destination	Bodø: Self transfer to [Destination]
standard-0065	Transfer	Bodø	Bodø	Destination	Bodø: Private transfer to [Destination]
standard-0066	Flight	Bodø	Bodø	Destination;Time	Bodø: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0067	Cruise	Bodø	Bodø	Destination;Time	Bodø: Atlantic Coastal Cruise to [Destination] - Departure from Bodø: [Time] - Arrival at [Destination]: [Time] - Meeting point: Bodø Cruise Harbor - Includes: Tickets
standard-0068	Train	Bodø	Bodø	Destination;Time	Bodø: Arctic Train Transfer to [Destination] - Time: [Time] - Meeting point: Bodø Train Station - Includes: Tickets
standard-0069	Coach	Bodø	Bodø	Destination;Time	Bodø: Coach transfer to [Destination] - Time: [Time] - Meeting point: Bodø Bus Station - Includes: Tickets
standard-0070	Hotel	Narvik	Narvik	BedType;HotelName;MealPlan;RoomCategory;X	Narvik: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0071	Leisure	Narvik	Narvik		Narvik: Spend time at leisure
standard-0072	Transfer	Narvik	Narvik	Destination	Narvik: Self transfer to [Destination]
standard-0073	Transfer	Narvik	Narvik	Destination	Narvik: Private transfer to [Destination]
standard-0074	Flight	Narvik	Narvik	Destination;Time	Narvik: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0075	Train	Narvik	Narvik	Destination;Time	Narvik: Arctic Train Transfer to [Destination] - Time: [Time] - Meeting point: Narvik Train Station - Includes: Tickets
standard-0076	Coach	Narvik	Narvik	Destination;Time	Narvik: Coach transfer to [Destination] - Time: [Time] - Meeting point: Narvik Bus Station - Includes: Tickets
standard-0077	Hotel	Tromsø	Tromsø	BedType;HotelName;MealPlan;RoomCategory;X	Tromsø: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0078	Leisure	Tromsø	Tromsø		Tromsø: Spend time at leisure
standard-0079	Transfer	Tromsø	Tromsø	Destination	Tromsø: Self transfer to [Destination]
standard-0080	Transfer	Tromsø	Tromsø	Destination	Tromsø: Private transfer to [Destination]
standard-0081	Flight	Tromsø	Tromsø	Destination;Time	Tromsø: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0082	Cruise	Tromsø	Tromsø	Destination;Time	Tromsø: Atlantic Coastal Cruise to [Destination] - Departure from Tromsø: [Time] - Arrival at [Destination]: [Time] - Meeting point: Tromsø Cruise Harbor - Includes: Tickets
standard-0083	Coach	Tromsø	Tromsø	Destination;Time	Tromsø: Coach transfer to [Destination] - Time: [Time] - Meeting point: Tromsø Bus Station - Includes: Tickets
standard-0084	Hotel	Alta	Alta	BedType;HotelName;MealPlan;RoomCategory;X	Alta: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0085	Leisure	Alta	Alta		Alta: Spend time at leisure
standard-0086	Transfer	Alta	Alta	Destination	Alta: Self transfer to [Destination]
standard-0087	Transfer	Alta	Alta	Destination	Alta: Private transfer to [Destination]
standard-0088	Flight	Alta	Alta	Destination;Time	Alta: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0089	Cruise	Alta	Alta	Destination;Time	Alta: Atlantic Coastal Cruise to [Destination] - Departure from Alta: [Time] - Arrival at [Destination]: [Time] - Meeting point: Alta Cruise Harbor - Includes: Tickets
standard-0090	Coach	Alta	Alta	Destination;Time	Alta: Coach transfer to [Destination] - Time: [Time] - Meeting point: Alta Bus Station - Includes: Tickets
standard-0091	Hotel	Kirkenes	Kirkenes	BedType;HotelName;MealPlan;RoomCategory;X	Kirkenes: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0092	Leisure	Kirkenes	Kirkenes		Kirkenes: Spend time at leisure
standard-0093	Transfer	Kirkenes	Kirkenes	Destination	Kirkenes: Self transfer to [Destination]
standard-0094	Transfer	Kirkenes	Kirkenes	Destination	Kirkenes: Private transfer to [Destination]
standard-0095	Flight	Kirkenes	Kirkenes	Destination;Time	Kirkenes: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0096	Cruise	Kirkenes	Kirkenes	Destination;Time	Kirkenes: Atlantic Coastal Cruise to [Destination] - Departure from Kirkenes: [Time] - Arrival at [Destination]: [Time] - Meeting point: Kirkenes Cruise Harbor - Includes: Tickets
standard-0097	Coach	Kirkenes	Kirkenes	Destination;Time	Kirkenes: Coach transfer to [Destination] - Time: [Time] - Meeting point: Kirkenes Bus Station - Includes: Tickets
standard-0098	Hotel	Honningsvåg / North Cape	Honningsvåg / North Cape	BedType;HotelName;MealPlan;RoomCategory;X	Honningsvåg / North Cape: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0099	Leisure	Honningsvåg / North Cape	Honningsvåg / North Cape		Honningsvåg / North Cape: Spend time at leisure
standard-0100	Transfer	Honningsvåg / North Cape	Honningsvåg / North Cape	Destination	Honningsvåg / North Cape: Self transfer to [Destination]
standard-0101	Transfer	Honningsvåg / North Cape	Honningsvåg / North Cape	Destination	Honningsvåg / North Cape: Private transfer to [Destination]
standard-0102	Flight	Honningsvåg / North Cape	Honningsvåg / North Cape	Destination;Time	Honningsvåg / North Cape: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0103	Cruise	Honningsvåg / North Cape	Honningsvåg / North Cape	Destination;Time	Honningsvåg / North Cape: Atlantic Coastal Cruise to [Destination] - Departure from Honningsvåg / North Cape: [Time] - Arrival at [Destination]: [Time] - Meeting point: Honningsvåg Cruise Harbor - Includes: Tickets
standard-0104	Coach	Honningsvåg / North Cape	Honningsvåg / North Cape	Destination;Time	Honningsvåg / North Cape: Coach transfer to [Destination] - Time: [Time] - Meeting point: Honningsvåg Bus Station - Includes: Tickets
standard-0105	Hotel	Lofoten	Lofoten	BedType;HotelName;MealPlan;RoomCategory;X	Lofoten: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0106	Leisure	Lofoten	Lofoten		Lofoten: Spend time at leisure
standard-0107	Transfer	Lofoten	Lofoten	Destination	Lofoten: Self transfer to [Destination]
standard-0108	Transfer	Lofoten	Lofoten	Destination	Lofoten: Private transfer to [Destination]
standard-0109	Flight	Lofoten	Lofoten	Destination;Time	Lofoten: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0110	Cruise	Lofoten	Lofoten	Destination;Time	Lofoten: Atlantic Coastal Cruise to [Destination] - Departure from Lofoten: [Time] - Arrival at [Destination]: [Time] - Meeting point: Lofoten Cruise Harbor - Includes: Tickets
standard-0111	Coach	Lofoten	Lofoten	Destination;Time	Lofoten: Coach transfer to [Destination] - Time: [Time] - Meeting point: Lofoten Bus Station - Includes: Tickets
standard-0112	Hotel	Svolvær	Svolvær	BedType;HotelName;MealPlan;RoomCategory;X	Svolvær: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0113	Leisure	Svolvær	Svolvær		Svolvær: Spend time at leisure
standard-0114	Transfer	Svolvær	Svolvær	Destination	Svolvær: Self transfer to [Destination]
standard-0115	Transfer	Svolvær	Svolvær	Destination	Svolvær: Private transfer to [Destination]
standard-0116	Flight	Svolvær	Svolvær	Destination;Time	Svolvær: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0117	Cruise	Svolvær	Svolvær	Destination;Time	Svolvær: Atlantic Coastal Cruise to [Destination] - Departure from Svolvær: [Time] - Arrival at [Destination]: [Time] - Meeting point: Svolvær Cruise Harbor - Includes: Tickets
standard-0118	Coach	Svolvær	Svolvær	Destination;Time	Svolvær: Coach transfer to [Destination] - Time: [Time] - Meeting point: Svolvær Bus Station - Includes: Tickets
standard-0119	Hotel	Reine	Reine	BedType;HotelName;MealPlan;RoomCategory;X	Reine: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0120	Leisure	Reine	Reine		Reine: Spend time at leisure
standard-0121	Transfer	Reine	Reine	Destination	Reine: Self transfer to [Destination]
standard-0122	Transfer	Reine	Reine	Destination	Reine: Private transfer to [Destination]
standard-0123	Cruise	Reine	Reine	Destination;Time	Reine: Atlantic Coastal Cruise to [Destination] - Departure from Reine: [Time] - Arrival at [Destination]: [Time] - Meeting point: Reine Cruise Harbor - Includes: Tickets
standard-0124	Coach	Reine	Reine	Destination;Time	Reine: Coach transfer to [Destination] - Time: [Time] - Meeting point: Reine Bus Station - Includes: Tickets
standard-0125	Hotel	Stavanger	Stavanger	BedType;HotelName;MealPlan;RoomCategory;X	Stavanger: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0126	Leisure	Stavanger	Stavanger		Stavanger: Spend time at leisure
standard-0127	Transfer	Stavanger	Stavanger	Destination	Stavanger: Self transfer to [Destination]
standard-0128	Transfer	Stavanger	Stavanger	Destination	Stavanger: Private transfer to [Destination]
standard-0129	Flight	Stavanger	Stavanger	Destination;Time	Stavanger: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0130	Cruise	Stavanger	Stavanger	Destination;Time	Stavanger: Atlantic Coastal Cruise to [Destination] - Departure from Stavanger: [Time] - Arrival at [Destination]: [Time] - Meeting point: Stavanger Cruise Harbor - Includes: Tickets
standard-0131	Train	Stavanger	Stavanger	Destination;Time	Stavanger: Train Transfer to [Destination] - Time: [Time] - Meeting point: Stavanger Train Station - Includes: Tickets
standard-0132	Coach	Stavanger	Stavanger	Destination;Time	Stavanger: Coach transfer to [Destination] - Time: [Time] - Meeting point: Stavanger Bus Station - Includes: Tickets
standard-0133	Hotel	Kristiansand	Kristiansand	BedType;HotelName;MealPlan;RoomCategory;X	Kristiansand: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0134	Leisure	Kristiansand	Kristiansand		Kristiansand: Spend time at leisure
standard-0135	Transfer	Kristiansand	Kristiansand	Destination	Kristiansand: Self transfer to [Destination]
standard-0136	Transfer	Kristiansand	Kristiansand	Destination	Kristiansand: Private transfer to [Destination]
standard-0137	Flight	Kristiansand	Kristiansand	Destination;Time	Kristiansand: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0138	Cruise	Kristiansand	Kristiansand	Destination;Time	Kristiansand: Atlantic Coastal Cruise to [Destination] - Departure from Kristiansand: [Time] - Arrival at [Destination]: [Time] - Meeting point: Kristiansand Cruise Harbor - Includes: Tickets
standard-0139	Train	Kristiansand	Kristiansand	Destination;Time	Kristiansand: Train Transfer to [Destination] - Time: [Time] - Meeting point: Kristiansand Train Station - Includes: Tickets
standard-0140	Coach	Kristiansand	Kristiansand	Destination;Time	Kristiansand: Coach transfer to [Destination] - Time: [Time] - Meeting point: Kristiansand Bus Station - Includes: Tickets
standard-0141	Hotel	Lillehammer	Lillehammer	BedType;HotelName;MealPlan;RoomCategory;X	Lillehammer: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0142	Leisure	Lillehammer	Lillehammer		Lillehammer: Spend time at leisure
standard-0143	Transfer	Lillehammer	Lillehammer	Destination	Lillehammer: Self transfer to [Destination]
standard-0144	Transfer	Lillehammer	Lillehammer	Destination	Lillehammer: Private transfer to [Destination]
standard-0145	Train	Lillehammer	Lillehammer	Destination;Time	Lillehammer: Scenic Train Transfer to [Destination] - Time: [Time] - Meeting point: Lillehammer Train Station - Includes: Tickets
standard-0146	Coach	Lillehammer	Lillehammer	Destination;Time	Lillehammer: Coach transfer to [Destination] - Time: [Time] - Meeting point: Lillehammer Bus Station - Includes: Tickets
standard-0147	Hotel	Røros	Røros	BedType;HotelName;MealPlan;RoomCategory;X	Røros: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0148	Leisure	Røros	Røros		Røros: Spend time at leisure
standard-0149	Transfer	Røros	Røros	Destination	Røros: Self transfer to [Destination]
standard-0150	Transfer	Røros	Røros	Destination	Røros: Private transfer to [Destination]
standard-0151	Flight	Røros	Røros	Destination;Time	Røros: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0152	Train	Røros	Røros	Destination;Time	Røros: Train Transfer to [Destination] - Time: [Time] - Meeting point: Røros Train Station - Includes: Tickets
standard-0153	Coach	Røros	Røros	Destination;Time	Røros: Coach transfer to [Destination] - Time: [Time] - Meeting point: Røros Bus Station - Includes: Tickets
standard-0154	Hotel	Longyearbyen	Longyearbyen	BedType;HotelName;MealPlan;RoomCategory;X	Longyearbyen: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0155	Leisure	Longyearbyen	Longyearbyen		Longyearbyen: Spend time at leisure
standard-0156	Transfer	Longyearbyen	Longyearbyen	Destination	Longyearbyen: Self transfer to [Destination]
standard-0157	Transfer	Longyearbyen	Longyearbyen	Destination	Longyearbyen: Private transfer to [Destination]
standard-0158	Flight	Longyearbyen	Longyearbyen	Destination;Time	Longyearbyen: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0159	Hotel	Andenes	Andenes	BedType;HotelName;MealPlan;RoomCategory;X	Andenes: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0160	Leisure	Andenes	Andenes		Andenes: Spend time at leisure
standard-0161	Transfer	Andenes	Andenes	Destination	Andenes: Self transfer to [Destination]
standard-0162	Transfer	Andenes	Andenes	Destination	Andenes: Private transfer to [Destination]
standard-0163	Flight	Andenes	Andenes	Destination;Time	Andenes: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0164	Cruise	Andenes	Andenes	Destination;Time	Andenes: Atlantic Coastal Cruise to [Destination] - Departure from Andenes: [Time] - Arrival at [Destination]: [Time] - Meeting point: Andenes Cruise Harbor - Includes: Tickets
standard-0165	Coach	Andenes	Andenes	Destination;Time	Andenes: Coach transfer to [Destination] - Time: [Time] - Meeting point: Andenes Bus Station - Includes: Tickets
standard-0166	Hotel	Åndalsnes	Åndalsnes	BedType;HotelName;MealPlan;RoomCategory;X	Åndalsnes: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0167	Leisure	Åndalsnes	Åndalsnes		Åndalsnes: Spend time at leisure
standard-0168	Transfer	Åndalsnes	Åndalsnes	Destination	Åndalsnes: Self transfer to [Destination]
standard-0169	Transfer	Åndalsnes	Åndalsnes	Destination	Åndalsnes: Private transfer to [Destination]
standard-0170	Cruise	Åndalsnes	Åndalsnes	Destination;Time	Åndalsnes: Scenic Fjord Cruise to [Destination] - Departure from Åndalsnes: [Time] - Arrival at [Destination]: [Time] - Meeting point: Åndalsnes Cruise Harbor - Includes: Tickets
standard-0171	Train	Åndalsnes	Åndalsnes	Destination;Time	Åndalsnes: Scenic Train Transfer to [Destination] - Time: [Time] - Meeting point: Åndalsnes Train Station - Includes: Tickets
standard-0172	Coach	Åndalsnes	Åndalsnes	Destination;Time	Åndalsnes: Coach transfer to [Destination] - Time: [Time] - Meeting point: Åndalsnes Bus Station - Includes: Tickets
standard-0173	Hotel	Odda / Hardanger	Odda / Hardanger	BedType;HotelName;MealPlan;RoomCategory;X	Odda / Hardanger: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0174	Leisure	Odda / Hardanger	Odda / Hardanger		Odda / Hardanger: Spend time at leisure
standard-0175	Transfer	Odda / Hardanger	Odda / Hardanger	Destination	Odda / Hardanger: Self transfer to [Destination]
standard-0176	Transfer	Odda / Hardanger	Odda / Hardanger	Destination	Odda / Hardanger: Private transfer to [Destination]
standard-0177	Cruise	Odda / Hardanger	Odda / Hardanger	Destination;Time	Odda / Hardanger: Scenic Fjord Cruise to [Destination] - Departure from Odda / Hardanger: [Time] - Arrival at [Destination]: [Time] - Meeting point: Odda Cruise Harbor - Includes: Tickets
standard-0178	Coach	Odda / Hardanger	Odda / Hardanger	Destination;Time	Odda / Hardanger: Coach transfer to [Destination] - Time: [Time] - Meeting point: Odda Bus Station - Includes: Tickets
standard-0179	Hotel	Kristiansund	Kristiansund	BedType;HotelName;MealPlan;RoomCategory;X	Kristiansund: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0180	Leisure	Kristiansund	Kristiansund		Kristiansund: Spend time at leisure
standard-0181	Transfer	Kristiansund	Kristiansund	Destination	Kristiansund: Self transfer to [Destination]
standard-0182	Transfer	Kristiansund	Kristiansund	Destination	Kristiansund: Private transfer to [Destination]
standard-0183	Flight	Kristiansund	Kristiansund	Destination;Time	Kristiansund: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0184	Cruise	Kristiansund	Kristiansund	Destination;Time	Kristiansund: Atlantic Coastal Cruise to [Destination] - Departure from Kristiansund: [Time] - Arrival at [Destination]: [Time] - Meeting point: Kristiansund Cruise Harbor - Includes: Tickets
standard-0185	Coach	Kristiansund	Kristiansund	Destination;Time	Kristiansund: Coach transfer to [Destination] - Time: [Time] - Meeting point: Kristiansund Bus Station - Includes: Tickets
standard-0186	Hotel	Stockholm	Stockholm	BedType;HotelName;MealPlan;RoomCategory;X	Stockholm: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0187	Leisure	Stockholm	Stockholm		Stockholm: Spend time at leisure
standard-0188	Transfer	Stockholm	Stockholm	Destination	Stockholm: Self transfer to [Destination]
standard-0189	Transfer	Stockholm	Stockholm	Destination	Stockholm: Private transfer to [Destination]
standard-0190	Flight	Stockholm	Stockholm	Destination;Time	Stockholm: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
