Activity	City	Activity details
Activity	Rovaniemi	Rovaniemi: Aurora Hunt with BBQ - Time: 8:00 PM - 11:00 PM - Meeting point: Pick-up/drop-off in central Rovaniemi - Inclusions: Pick-up/drop-off in central Rovaniemi, traditional Lapland BBQ - Description: Evening Northern Lights hunt with BBQ. Optional add-on where marked in source.
Activity	Rovaniemi	Rovaniemi: City Highlights, Santa Village & Husky-Reindeer Safari - Time: 8:20 AM or 10:00 AM (6-7 hours) - Meeting point: Nordic Unique Travels Office, Maakuntakatu 29, Rovaniemi - Inclusions: Knowledgeable English-speaking guide, visit to husky and reindeer farm, husky and reindeer sleigh rides if snow conditions allow, Santa Claus Village sightseeing, Arctic Circle Crossing Certificate, Arktikum Museum tour, buffet lunch - Description: Full-day Rovaniemi city and Arctic animal experience with Santa Claus Village and Arktikum.
Activity	Rovaniemi	Rovaniemi: Culture Pass 2026: Korundi & Arktikum - Time: Not specified - Meeting point: Korundi House of Culture and Arktikum Science Centre and Museum - Inclusions: Standard culture pass valid for Korundi and Arktikum - Description: One-day cultural attraction pass.
Activity	Rovaniemi	Rovaniemi: Dancing Queen Afternoon Polar Icebreaker Cruise - Time: 10:00 AM - 6:35 PM - Meeting point: Rovaniemi Tourist Information - Inclusions: Transfers to/from Rovaniemi, meals onboard, walking on ice, ice floating and other icebreaker activities - Description: Afternoon Polar Icebreaker Cruise. Corrected from source typos: Afternoon, Cruise, Meals.
Activity	Rovaniemi	Rovaniemi: Dog Sledding with Huskies inside Santa Claus Village - Time: 3:00 PM - 4:00 PM - Meeting point: Santa's Husky Rides, Joulumaantie 3, Rovaniemi - Inclusions: 2.5 km husky ride, juice and cookies - Description: Husky ride inside Santa Claus Village. Optional add-on where marked in source; source cost variants found at EUR 54 / EUR 60 per person.
Activity	Rovaniemi	Rovaniemi: Finnish Arctic Explorer Icebreaker Cruise - Time: Cruise 1:15 PM - 3:45 PM Swedish time / 2:15 PM - 4:45 PM Finnish time - Meeting point: Pick-up 11:10 AM from Rovaniemi; drop-off 5:30 PM in Rovaniemi - Inclusions: Shuttle bus from Rovaniemi, icebreaker cruise, floating in icy Arctic waters in survival suits, walk on the frozen sea, complimentary hot drink, Cruise & Swim certificate - Description: Classic Arctic Explorer Icebreaker cruise from Rovaniemi.
Activity	Rovaniemi	Rovaniemi: Ice Floating under the Northern Lights - Time: Any time between 4:00 PM and 8:30 PM - Meeting point: Travels Office, Maakuntakatu 29, Rovaniemi - Inclusions: Pick-up/drop-off in central Rovaniemi, knowledgeable English-speaking guide, floating survival suit, gingerbread and hot blueberry juice - Description: Ice floating experience with chance to see the Northern Lights.
Activity	Rovaniemi	Rovaniemi: Ice Floating with Auroras - Time: 7:00 PM - 10:00 PM - Meeting point: Pick-up/drop-off in central Rovaniemi - Inclusions: Beautiful frozen lake location, survival thermal wetsuit, warm drink and cookies - Description: Relaxing Arctic ice floating experience under the night sky, with Northern Lights possible when conditions allow.
Activity	Rovaniemi	Rovaniemi: Korouoma Frozen Waterfalls Hike & BBQ - Time: 9:00 AM - 4:00 PM - Meeting point: Pick-up/drop-off in central Rovaniemi - Inclusions: Transfers in 2025 Ford Tourneo, professional certified guide, thermal overalls, 4-6 km guided hike in Korouoma Canyon, small group max 8 guests, hot drinks and barbecue - Description: Guided winter hike in Korouoma Canyon with frozen waterfalls and BBQ.
Activity	Rovaniemi	Rovaniemi: Lapland Arctic Dip and Finnish Sauna Experience - Time: 4:00 PM - 6:00 PM - Meeting point: Lapland Royal Adventures office, Koskikatu 24, Rovaniemi - Inclusions: Access to ice swimming and saunas, essential gear, refreshments, entrance tickets - Description: Finnish sauna and Arctic dip experience.
Activity	Rovaniemi	Rovaniemi: Lapland Northern Lights Rapid Photo Chase - Time: 8:00 PM - 12:00 AM - Meeting point: Pick-up/drop-off within 15 km of Rovaniemi city centre - Inclusions: Tour guiding, professional camera pictures, tour transportation, cookies and hot drinks, goods and services tax - Description: Northern Lights photo chase by vehicle. Optional add-on where marked in source.
Activity	Rovaniemi	Rovaniemi: Northern Lights Hunt by Minibus at the Arctic Circle - Time: 8:00 PM - 11:00 PM - Meeting point: Arctic City Snowmobile Park office, Koskikatu 8, Rovaniemi - Inclusions: Pick-up/drop-off in central Rovaniemi, professional English-speaking guide, winter overalls, boots and gloves, warm juice and cookies - Description: Evening Northern Lights hunt by minibus at the Arctic Circle.
Activity	Rovaniemi	Rovaniemi: Northern Lights Unlimited Mileage Photo Tour - Time: 8:00 PM - 1:00 AM - Meeting point: Book Lapland Office, Koskikatu 22, Rovaniemi - Inclusions: Pick-up/drop-off in central Rovaniemi, knowledgeable English-speaking guides, professional DSLR photography, meteorological observations, thermal winter clothing, hot drinks and snacks or cookies - Description: Photo-focused Northern Lights hunt with flexible routing.
Activity	Rovaniemi	Rovaniemi: Planetarium Northern Lights Movie - Time: Not specified - Meeting point: Art Gallery at West Village - Inclusions: Planetarium show, entry to Igloo Tower before or after the show - Description: Immersive planetarium experience about the science, myths and legends of the Northern Lights.
Activity	Rovaniemi	Rovaniemi: Polar Explorer Icebreaker Cruise Experience with Meals - Time: 1:00 PM - 4:00 PM Swedish time / 2:00 PM - 5:00 PM Finnish time - Meeting point: Rovaniemi shuttle pick-up/drop-off - Inclusions: Shuttle bus from Rovaniemi, swimming in survival suits, walk on the frozen sea, short film in icebreaker cinema, music and games on ice, complimentary hot drink, audio guided tour, Cruise & Swim certificate, lunch onboard - Description: Full Arctic Expedition icebreaker experience with meals.
Activity	Rovaniemi	Rovaniemi: Polar Explorer Icebreaker Cruise Experience with Meals - Time: 9:00 AM - 12:00 PM Swedish time / 10:00 AM - 1:00 PM Finnish time - Meeting point: Rovaniemi shuttle pick-up/drop-off - Inclusions: Shuttle bus from Rovaniemi, swimming in survival suits, walk on the frozen sea, short film in icebreaker cinema, music and games on ice, complimentary hot drink, audio guided tour, Cruise & Swim certificate, lunch onboard - Description: Morning Polar Explorer variant with meals.
Activity	Rovaniemi	Rovaniemi: Polar Icebreaker Cruise with Transfers from Rovaniemi - Time: Afternoon (Full day) - Meeting point: Rovaniemi Tourist Information - Inclusions: Transfers to/from Rovaniemi, meals onboard, walking on ice, ice floating and other icebreaker activities - Description: Icebreaker cruise product with Rovaniemi transfers.
Activity	Rovaniemi	Rovaniemi: Santa Claus Village by Snowmobiles and Reindeer - Time: 8:15 AM - 1:15 PM - Meeting point: Pick-up/drop-off in central Rovaniemi - Inclusions: Knowledgeable English-speaking guide, approx. 1-hour snowmobile ride, Santa Claus Village visit, short reindeer sleigh ride, overalls, boots, gloves, balaclava and helmet, traditional Finnish lunch buffet - Description: Snowmobile and reindeer experience with Santa Claus Village visit.
Activity	Rovaniemi	Rovaniemi: Santa's Village & Reindeer Farm by Snowmobile with Lunch - Time: 9:30 AM - 5:30 PM - Meeting point: Office, Koskikatu 9, Rovaniemi - Inclusions: Pick-up/drop-off in central Rovaniemi, professional English-speaking guide, snowmobile driving instructions, two persons per snowmobile, approx. 1.5-2 hours driving time, reindeer farm visit, reindeer sleigh ride and driving license, Santa Claus Village visit, winter clothing, hot drinks and lunch - Description: Full-day snowmobile, reindeer farm and Santa Claus Village experience.
Activity	Rovaniemi	Rovaniemi: Small-Group Northern Lights Tour - Time: 8:00 PM - 12:00 AM - Meeting point: Safari office, Maakuntakatu 29, Rovaniemi - Inclusions: Pick-up/drop-off within 15 km of Rovaniemi city centre, knowledgeable English-speaking Aurora Borealis guide, protective winter clothing, overalls and boots, hot blueberry juice - Description: Small-group Northern Lights hunting experience. Guests should bring their own food or snacks.
Activity	Rovaniemi	Rovaniemi: Snowmobile Evening Safari & Aurora Opportunity - Time: 7:00 PM - 12:00 AM - Meeting point: Pick-up/drop-off in central Rovaniemi - Inclusions: Transfers in 2025 Ford Tourneo, professional snowmobile guidance, 2025 snowmobiles shared two guests per vehicle, 2 hours snowmobiling, helmets and safety gear, thermal overalls, small group max 4 snowmobiles per guide, Northern Lights viewing opportunity - Description: Small-group evening snowmobile safari with BBQ and Northern Lights opportunity.
Activity	Rovaniemi	Rovaniemi: Snowmobiling under the Northern Lights - Time: 7:20 PM (3-4 hours) - Meeting point: Confirmed after booking / hotel lobby where applicable - Inclusions: Pick-up/drop-off in central Rovaniemi, knowledgeable English-speaking guide, overalls, boots, gloves, balaclava and helmet, approx. 1-hour snowmobile ride, snacks and hot juice - Description: Evening snowmobile safari with Northern Lights opportunity. Drivers must be 18+ with valid license.
Activity	Rovaniemi	Rovaniemi: Visit to Santa Claus Village & Reindeer Visit - Time: 10:00 AM - 2:00 PM - Meeting point: Nordic Unique Travels Office, Maakuntakatu 29, Rovaniemi - Inclusions: Knowledgeable English-speaking guide, pick-up/drop-off in central Rovaniemi, personal encounter with Santa Claus, Arctic Circle Certificate, lunch buffet - Description: Santa Claus Village visit combined with reindeer experience.
Activity	Kakslauttanen	Kakslauttanen: Aurora Hunting with Reindeer - Time: 7:30 PM - 9:30 PM - Meeting point: Aurora Reception at West Village - Inclusions: Transfer from/to Kakslauttanen, winter equipment, hot berry juice - Description: Evening aurora hunting experience by reindeer.
Activity	Kakslauttanen	Kakslauttanen: Aurora Hunting with Snowmobile - Time: 7:00 PM - 9:30 PM - Meeting point: Kakslauttanen Arctic Resort - Inclusions: Shared snowmobile experience, hot drink - Description: Evening aurora hunting by snowmobile.
Activity	Kakslauttanen	Kakslauttanen: Nordic Ski Lesson with Instructor - Time: 12:30 PM - 1:30 PM - Meeting point: Kakslauttanen Arctic Resort, Kiilopääntie 9, Saariselkä - Inclusions: Nordic ski lesson with instructor - Description: Thermal clothing is not included; equipment can be rented on spot.
Activity	Saariselkä	Saariselkä: Northern Lights Hunting Photo Tour by Bus - Time: 7:30 PM - 10:30 PM - Meeting point: Pick-up/drop-off in central Saariselkä - Inclusions: Knowledgeable English-speaking guide, scenic Aurora hunt/drive up to 150 km, professional photos shared after the tour, gingerbread cookies and hot drinks - Description: Northern Lights photo tour by bus.
Activity	Tromsø	Tromsø: Accessible Fjord Tour of Kvaløya & Sommarøy incl. Lunch - Time: 10:00 AM - 3:30 PM - Meeting point: Central Tromsø meeting point - Inclusions: Pick-up/drop-off in central Tromsø, knowledgeable multilingual guide, free photographs, 2-course meal with coffee or tea - Description: Accessible fjord tour designed for wheelchair users, reduced mobility guests and neurodivergent guests where possible.
Activity	Tromsø	Tromsø: Arctic Fjord and Landscapes 5-Hour Tour - Time: 10:00 AM - 3:00 PM - Meeting point: Pick-up/drop-off in central Tromsø - Inclusions: Knowledgeable English-speaking guide, comfortable air-conditioned vehicle, thermal suits, hot chocolate with biscuits or cake - Description: Scenic Arctic fjord and landscape tour outside Tromsø.
Activity	Tromsø	Tromsø: Arctic Wilderness Northern Lights Tour by Bus - Time: 6:30 PM - 1:30 AM - Meeting point: Pick-up/drop-off in central Tromsø - Inclusions: Experienced guide-photographer, photos from the tour, comfortable modern bus, hot drinks and freshly baked cookies - Description: Bus-based Northern Lights wilderness tour.
Activity	Tromsø	Tromsø: Cable Car Round-Trip Ticket - Time: Flexible - Meeting point: Sollivegen 12, 9020 Tromsdalen, Norway - Inclusions: Round-trip cable car ticket - Description: Flexible visit to enjoy views of Tromsø and surroundings by day or evening.
Activity	Tromsø	Tromsø: Crystal Lavvo Stay with Auroras, Meals & Activities - Time: 11:45 AM - 11:45 AM - Meeting point: Tromsø Havn Prostneset Terminal, Samuel Arnesens gate 5 - Inclusions: Pick-up/drop-off in central Tromsø, knowledgeable English-speaking guide, overnight crystal lavvo stay, fireplace heating with firewood, Northern Lights hunt with photo workshop, snowshoeing nearby, lunch and dinner day 1, bathroom/toilet facilities, breakfast and return transfer day 2 - Description: Overnight aurora stay in a crystal lavvo with meals and activities. Optional add-on where marked in source.
Activity	Tromsø	Tromsø: Day Trip to Senja Hiker's Paradise with Arctic Route - Time: 8:45 AM - 8:25 PM - Meeting point: The Arctic Route bus stop in Tromsø - Inclusions: Return transport from Tromsø to Mefjord Brygge on Senja by Arctic Route, coach transfer, 40-minute ferry crossing each way, free Wi-Fi and USB charging onboard - Description: Self-guided hike opportunity on Senja after scenic bus/ferry journey. Lunch not included.
Activity	Tromsø	Tromsø: Fjellheisen Cable Car Tickets with Private Transfers - Time: Flexible - Meeting point: Hotel pick-up/drop-off if private transfers are included - Inclusions: Fjellheisen cable car ticket and private transfers where specified - Description: Cable car experience with views over Tromsø.
Activity	Tromsø	Tromsø: Fjord & Wildlife Excursion by VIP Minivan in Small Group - Time: 10:00 AM - 1:00 PM - Meeting point: Scandic Ishavshotell, Fredrik Langes gate 2, Tromsø - Inclusions: Pick-up/drop-off in central Tromsø, knowledgeable English-speaking guide, premium Mercedes V-Class minivan, visits to Kvaløya, Kaldfjord, Ersfjord and Grøtfjord, digital photos, digital art memory - Description: Small-group fjord and wildlife sightseeing by VIP minivan.
Activity	Tromsø	Tromsø: Fjord Adventure Tour with Wildlife, Photos & Lunch - Time: 10:00 AM - 2:00 PM - Meeting point: Scandic Grand Hotel, Storgata 44, Tromsø - Inclusions: Pick-up/drop-off in central Tromsø, knowledgeable English-speaking guide, professional photographer, air-conditioned vehicle, local seaside lunch - Description: Fjord and wildlife sightseeing with photos and lunch.
Activity	Tromsø	Tromsø: Fjord Tour of Kvaløya & Sommarøy - Time: 9:00 AM - 2:30 PM - Meeting point: Pick-up/drop-off in central Tromsø - Inclusions: Knowledgeable multilingual guide, free photographs, 2-course meal with coffee or tea - Description: Scenic fjord tour around Kvaløya and Sommarøy.
Activity	Tromsø	Tromsø: Guided Sámi Excursion and Full Steam Museum Tour - Time: 4:00 PM - 5:00 PM - Meeting point: Full Steam Museum / confirmed meeting point - Inclusions: English-speaking guide, Northern Light Gallery, Seafarers Museum, Sea Sámi exhibition - Description: Short guided cultural and museum experience.
Activity	Tromsø	Tromsø: Guided Tour of Polaria with Entrance Tickets and Private Transfers - Time: 1:30 PM - 2:15 PM - Meeting point: Reception at 1:15 PM - Inclusions: Guided tour of Polaria, whisper headsets, private transfers where specified - Description: Guided Polaria visit with entrance tickets.
Activity	Tromsø	Tromsø: Northern Lights Adventure by Coach with Free Photos - Time: 6:00 PM - 1:00 AM - Meeting point: Pick-up/drop-off in central Tromsø - Inclusions: Local English-speaking guide, all fees and taxes, professional photography, thermal suits, campfire, coffee, tea and snacks - Description: Northern Lights chase by coach with photos included.
Activity	Tromsø	Tromsø: Northern Lights Chase by Coach with Pro Photos Included - Time: 6:00 PM / 6:30 PM - Meeting point: Tromsø Havn Prostneset Terminal, Samuel Arnesens gate 5 - Inclusions: Pick-up/drop-off in central Tromsø, knowledgeable English-speaking guide, premium coach with toilet facilities, professional photos, hot drink and biscuits - Description: Coach-based Northern Lights chase with portrait photos.
Activity	Tromsø	Tromsø: Northern Lights Cruise with Silent Electric Ship - Time: 7:00 PM - 10:00 PM - Meeting point: Skarven Kro Restaurant, Kaigata 6 or central Tromsø departure depending on variant - Inclusions: Knowledgeable English-speaking guide, 3-hour cruise around Tromsø area, warm indoor saloons, complimentary water and Wi-Fi, light meal with soup and focaccia - Description: Evening Northern Lights cruise in the Arctic fjords.
Activity	Tromsø	Tromsø: Northern Lights Evening Cruise with MS Strønstad - Time: 7:00 PM - 11:00 PM - Meeting point: Full Steam Restaurant, Søndre Tollbodgate 3, Tromsø - Inclusions: Knowledgeable English-speaking guide, food and drinks/light biscuits, family-friendly evening cruise, Northern Lights presentation - Description: Evening cruise with Northern Lights presentation and Arctic city views.
Activity	Tromsø	Tromsø: Northern Lights Safari to Aurora Basecamp - Time: 6:15 PM / 6:45 PM - Meeting point: Tromsø Havn Prostneset Terminal, Samuel Arnesens gate 5 or central Tromsø pick-up/drop-off depending on variant - Inclusions: Pick-up/drop-off in central Tromsø, English-speaking Northern Lights guide, comfortable coach with toilet, Northern Lights briefing/instructions video, warm overalls and tripods at Base Station, snacks, drinks and soup or stew - Description: Northern Lights safari to Aurora Basecamp with warm shelters and local food.
Activity	Tromsø	Tromsø: Northern Lights Tour for Everyone - Time: 7:00 PM - 3:00 AM - Meeting point: Pick-up/drop-off in central Tromsø - Inclusions: Knowledgeable multilingual guide, tips for taking photos, professional photos, thermal clothing, blankets and snow boots, warm food and hot drinks around a fire - Description: Inclusive Northern Lights evening tour with food and photography support.
Activity	Tromsø	Tromsø: Norwegian Cod Tasting & Culture Experience - Time: 5:00 PM - 7:00 PM - Meeting point: Confirmed locally - Inclusions: Cod tasting and culture experience - Description: Optional add-on where marked in source.
Activity	Tromsø	Tromsø: Photo Tour to Arctic Landscapes and Fjords - Time: 11:00 AM - 4:00 PM - Meeting point: Departure from Tromsø; hotel drop-off - Inclusions: Professional English-speaking photo guides, scenic fjord safari by minivan, help with camera settings and nature photos, small-group experience, soup or expedition food, coffee and waffles/cookies - Description: Photo-focused Arctic landscape and fjord excursion.
Activity	Tromsø	Tromsø: Reindeer Feeding & Sámi Culture - Time: 10:00 AM - 3:00 PM - Meeting point: Radisson Blu Hotel, Sjøgata 7, Tromsø - Inclusions: Pick-up/drop-off in central Tromsø, scenic transfers, cultural introduction to Sámi history/life, feeding the herd, thermal suit and warm snow boots, hot beverages and hot meal - Description: Reindeer feeding and Sámi culture tour. Optional add-on where marked in source.
Activity	Tromsø	Tromsø: Reindeer Feeding & Sámi Culture with Northern Lights - Time: 6:00 PM - 11:00 PM - Meeting point: Radisson Blu Hotel, Sjøgata 7 - Inclusions: Pick-up/drop-off in central Tromsø, snowsuits, boot covers, hats and mittens, Sámi storytelling, reindeer feeding, hot drinks and hot meal - Description: Evening reindeer feeding and Sámi culture experience with Northern Lights possibility.
Activity	Tromsø	Tromsø: Reindeer Sledding, Feeding and Sámi Culture - Time: 10:00 AM - 3:30 PM - Meeting point: Radisson Blu Hotel, Sjøgata 7, Tromsø - Inclusions: Pick-up/drop-off in central Tromsø, scenic transfers, English-speaking guide, entrance to the fence and feeding the herd, approx. 30-minute reindeer sledding, hot drinks and hot meal, Sámi stories - Description: Reindeer sledding and Sámi culture experience.
Activity	Tromsø	Tromsø: Sauna Spa Experience Onboard MV Strønstad - Time: Not specified - Meeting point: MV Strønstad / confirmed departure point - Inclusions: Sauna spa experience onboard - Description: Optional add-on where marked in source.
Activity	Tromsø	Tromsø: Short Reindeer Sledding, Reindeer Feeding & Sámi Culture - Time: 10:00 AM - 2:00 PM - Meeting point: Tromsø Havn Prostneset Terminal, Samuel Arnesens gate 5 - Inclusions: Return bus transfer from central Tromsø, knowledgeable English-speaking guide, storytelling and joik performance, traditional warm Sámi meal, hot drinks and cookies - Description: Short reindeer sledding ride, feeding and Sámi cultural storytelling.
Activity	Tromsø	Tromsø: Trip to Sommarøy with Round Tour of Kvaløya Island with Lunch - Time: 9:00 AM - 4:00 PM - Meeting point: Near hotel or Tromsø Havn Prostneset Terminal, Samuel Arnesens gate 5 - Inclusions: Pick-up/drop-off in central Tromsø, certified English-speaking guide, professional local driver, Mercedes Sprinter transport, photos sent within 48 hours, coffee, tea, hot chocolate and cookies, local lunch - Description: Round tour of Kvaløya and Sommarøy with local lunch.
Activity	Bergen	Bergen: Bergen Roundtrip Fløibanen Tickets - Time: Flexible - Meeting point: Vetrlidsallmenningen 23A, 5014 Bergen - Inclusions: Round-trip Fløibanen ticket - Description: Flexible visit to Mount Fløyen viewpoint.
Activity	Bergen	Bergen: Guided Day Tour to Flåm incl. Flåm Railway & Fjord Cruise - Time: 7:45 AM - 5:45 PM - Meeting point: Tour Office, Strandkaien 16, Bergen - Inclusions: English-speaking guide, panorama coach Bergen to Gudvangen, premium fjord cruise Gudvangen to Flåm, Flåm Railway, Bergen Railway, panorama coach Voss to Bergen - Description: Guided round trip from Bergen to Nærøyfjord and Flåm Railway.
Activity	Bergen	Bergen: Guided Walking Tour of Bergen Past & Present - Time: 10:30 AM / 3:00 PM - Meeting point: Bradbenken 1, Bergen - Inclusions: Authorized English-speaking guide, Bergenhus Fortress, Bryggen Wharf UNESCO site, historic streets and hidden alleys, viewpoints and local tips - Description: Relaxed city walking tour covering Bergen history, Bryggen, fortress and local life. Optional attraction entrances, transport and food/drinks are not included where specified.
Activity	Bergen	Bergen: Mostraumen Majestic Fjord & Waterfall Cruise - Time: Not specified - Meeting point: Børshopen Pier, Strandkaien 13, Bergen - Inclusions: Round-trip cruise Bergen - Mostraumen - Bergen - Description: Fjord cruise from Bergen through Cityfjord, Salhusfjord, Osterfjord and Mostraumen Channel.
Activity	Bergen	Bergen: Must-See Bergen on Foot and Boat - Time: 9:30 AM / 10:30 AM / 1:00 PM / 4:30 PM - Meeting point: Strandkaien 3, Bergen - Inclusions: Authorized English-speaking guide, guided walking tour of Bergen, city cruise with panoramic views, visits/passes by Bryggen UNESCO area, Fish Market and St. Mary's Church depending on variant - Description: 2-in-1 Bergen experience combining walking tour and short boat ride.
Activity	Oslo	Oslo: Essential Oslo, City Center Guided Walking Tour - Time: 10:00 AM - 12:00 PM - Meeting point: Near the University of Oslo - Inclusions: Guided walking tour of Oslo city centre - Description: Walking tour covering Oslo Opera House, Karl Johans gate, Parliament, National Theatre, Royal Palace and Oslo City Hall. From 17 Nov to 30 Dec, Christmas Walk may replace the Essential Oslo Tour.
Activity	Oslo	Oslo: Fjord Cruise with Silent Electric Ship - Time: 10:00 AM / 1:30 PM / 3:00 PM - Meeting point: Oslofjord cruise departure point - Inclusions: Cruise on the Oslofjord, English and Norwegian-speaking guides, café onboard, drinks and light snacks available for purchase, free tap water, free Wi-Fi - Description: Scenic Oslofjord cruise by silent electric ship.
Activity	Oslo	Oslo: Panoramic Hike with Vistas of the Oslo Fjord - Time: 9:55 AM - 1:55 PM - Meeting point: Outside Backstube Opera, Christian Frederiks plass 5, Oslo - Inclusions: Pick-up/drop-off from central Oslo, English-speaking guide, guided hike through Nordmarka forests - Description: Panoramic Oslo forest hike. Metro tickets, food and drinks are not included.
Activity	Oslo	Oslo: Snowshoeing through Winter Wonderland - Time: 9:55 AM - 1:25 PM - Meeting point: Outside Backstube Opera, Christian Frederiks plass 5, Oslo - Inclusions: Pick-up/drop-off from central Oslo, professional guide, panoramic forest hike, snowshoes and snowshoeing instructions - Description: Guided snowshoeing experience. Metro tickets purchased on-site are not included.
Activity	Oslo	Oslo: Winter Views of the Oslo Fjord Forest & Summit Hike - Time: 9:55 AM - 1:55 PM - Meeting point: Outside Backstube Opera, Christian Frederiks plass 5, Oslo - Inclusions: Pick-up/drop-off from central Oslo, knowledgeable English-speaking guide, panoramic hike through Oslo forests, views from Mt. Vettakollen - Description: Winter forest and summit hike. Metro tickets purchased on-site are not included.
Activity	Ålesund	Ålesund: Geiranger Fjord Cruise Day Trip - Time: Not specified - Meeting point: Cruise terminal - Inclusions: Cruise day trip - Description: Optional activity where marked in source.
Activity	Ålesund	Ålesund: Hop-On Hop-Off 24-Hour Ticket - Time: Flexible - Meeting point: Ålesund sightseeing stops - Inclusions: 24-hour hop-on hop-off ticket - Description: Flexible sightseeing ticket in Ålesund.
Activity	Ålesund	Ålesund: Ålesund - Geiranger - Ålesund Cruise Day Trip - Time: Not specified - Meeting point: Cruise terminal - Inclusions: Round-trip cruise day trip - Description: Cruise day trip between Ålesund and Geiranger.
Activity	Svolvær	Svolvær: Midnight Sun Photo Tour of the Lofoten Islands - Time: 8:50 PM - 12:50 AM - Meeting point: Svolvær Tourist Information office, Torget 18 - Inclusions: Pick-up/drop-off in central Svolvær, English-speaking guide, private minivan transport, professional photos and tripod, small group max 7 adults, coffee or tea - Description: Evening Lofoten photo tour during midnight sun season.
Activity	Svolvær	Svolvær: Photo Tour to Reine in the Lofoten - Time: 9:30 AM - 4:30 PM - Meeting point: Svolvær Tourist Information office, Torget 18 - Inclusions: Pick-up/drop-off in central Svolvær, English-speaking guide, private minivan transport, small group max 7 adults, coffee or tea - Description: Photo tour through Lofoten landscapes including Nusfjord, Flakstad, Ramberg, Reine and Hamnøya where included by route.
Activity	Longyearbyen	Longyearbyen: Wildlife Photography Tour Around Longyearbyen - Time: 8:00 AM - 12:30 PM - Meeting point: Pick-up from accommodation - Inclusions: Vehicle-based wildlife and photography tour - Description: Photography-focused tour around Longyearbyen, looking for Arctic fox, Svalbard reindeer, Svalbard ptarmigan and seasonal wildlife.
